Date,Clicks,Impressions,CTR,Position
2026-04-30,11,654,1.68%,9.9
2026-05-01,6,389,1.54%,11.1
2026-05-02,8,321,2.49%,9.7
2026-05-03,1,528,0.19%,10.5
2026-05-04,6,389,1.54%,10.1
2026-05-05,9,756,1.19%,10.8
2026-05-06,9,945,0.95%,9.3
2026-05-07,11,807,1.36%,9.1
2026-05-08,5,721,0.69%,9.6
2026-05-09,1,727,0.14%,9.6
2026-05-10,1,832,0.12%,8.9
2026-05-11,3,919,0.33%,9.8
2026-05-12,9,897,1%,10.3
2026-05-13,7,1069,0.65%,8.8
2026-05-14,12,698,1.72%,10.3
2026-05-15,6,387,1.55%,8.9
2026-05-16,5,226,2.21%,11.4
2026-05-17,2,267,0.75%,13.6
2026-05-18,8,345,2.32%,12.2
2026-05-19,11,329,3.34%,14.3
2026-05-20,10,370,2.7%,14.1
2026-05-21,4,342,1.17%,12.3
2026-05-22,4,373,1.07%,14.1
2026-05-23,2,237,0.84%,19.1
2026-05-24,2,259,0.77%,20.6
2026-05-25,2,302,0.66%,15.9
2026-05-26,6,301,1.99%,21.7
2026-05-27,29,369,7.86%,16.1
2026-05-28,9,404,2.23%,12.5
2026-05-29,13,569,2.28%,10.2
2026-05-30,4,297,1.35%,12
2026-05-31,4,283,1.41%,12.1
2026-06-01,15,302,4.97%,17.1
2026-06-02,13,382,3.4%,18.9
2026-06-03,6,357,1.68%,17.4
2026-06-04,8,253,3.16%,12.3
2026-06-05,3,366,0.82%,10.9
2026-06-06,3,267,1.12%,11.6
2026-06-07,7,437,1.6%,9.4
2026-06-08,7,330,2.12%,11.5
2026-06-09,15,321,4.67%,13.5
2026-06-10,13,425,3.06%,10.9
2026-06-11,9,310,2.9%,7.4
2026-06-12,11,292,3.77%,11.8
2026-06-13,0,260,0%,16.3
2026-06-14,4,237,1.69%,15.1
2026-06-15,14,323,4.33%,13.1
2026-06-16,14,400,3.5%,11.9
2026-06-17,7,326,2.15%,12.9
2026-06-18,4,283,1.41%,13.8
2026-06-19,6,281,2.14%,10.7
2026-06-20,2,184,1.09%,16.6
2026-06-21,3,288,1.04%,12.8
2026-06-22,13,356,3.65%,11.9
2026-06-23,7,330,2.12%,14.1
2026-06-24,11,392,2.81%,16.7
2026-06-25,13,380,3.42%,17.5
2026-06-26,6,473,1.27%,10.6
2026-06-27,3,225,1.33%,16.4
2026-06-28,2,434,0.46%,13.8
2026-06-29,8,362,2.21%,16.2
2026-06-30,8,472,1.69%,12.4
2026-07-01,8,322,2.48%,20.9
2026-07-02,9,423,2.13%,10.9
2026-07-03,5,289,1.73%,13.8
2026-07-04,1,207,0.48%,14
2026-07-05,3,326,0.92%,15.5
2026-07-06,9,275,3.27%,13.8
2026-07-07,6,278,2.16%,14.4
2026-07-08,14,322,4.35%,17.8
2026-07-09,8,321,2.49%,15.2
2026-07-10,7,215,3.26%,14.1
2026-07-11,6,237,2.53%,18.1
2026-07-12,4,220,1.82%,18.7
2026-07-13,7,275,2.55%,16.9
2026-07-14,8,299,2.68%,15.2
2026-07-15,10,286,3.5%,14.1
2026-07-16,6,232,2.59%,16
2026-07-17,2,276,0.72%,11.6
2026-07-18,7,253,2.77%,16
2026-07-19,1,186,0.54%,18.1
2026-07-20,11,271,4.06%,12.8
2026-07-21,4,279,1.43%,10.6
2026-07-22,20,308,6.49%,15.5
2026-07-23,4,268,1.49%,11.8
2026-07-24,5,282,1.77%,15.4
2026-07-25,1,271,0.37%,13.5
2026-07-26,4,221,1.81%,18.5
2026-07-27,10,339,2.95%,15.8
2026-07-28,4,346,1.16%,21.9
2026-07-29,10,347,2.88%,17.5
2026-07-30,13,342,3.8%,17.7
2026-07-31,12,268,4.48%,12.9
2026-08-01,3,251,1.2%,13
2026-08-02,4,268,1.49%,16.1
2026-08-03,4,266,1.5%,13.7
2026-08-04,20,317,6.31%,10.7
