clientName,priority,title,description,ownerType,ownerName,assigneeName,status,dueDate,estimatedHours
LBL Law,P1,Recommend on StrokeLawyer.com domain purchase,Assess whether a $350 exact-match domain earns its keep versus investing in the existing site.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,0.5
LBL Law,P1,Remove Other from intake source dropdown,The Other option is absorbing 21.4% of signed-case attribution.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,0.5
LBL Law,P1,Redesign intake form source options,Rebuild source selection so it is fast and specific enough that intake staff do not bypass it.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,2.0
LBL Law,P1,Write cut criteria memo for partner review,"Document the scoring, saturation, and conflict rules so the reduction is defensible rather than arbitrary.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.5
LBL Law,P1,Reforecast pitch volume against 5-10% landing rate,Replace the 15-20% acceptance assumption with what the partners actually expect.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P1,Provide full ad spend history and raw Other intake notes,Historical spend and unstructured intake notes needed to reconstruct lost attribution.,client,Karyn Alten,Sebastien Hue,blocked,2026-09-11,1.0
LBL Law,P1,Define social posting cadence and scope with Karyn,Settle how much social is included in retainer; regular cadence rather than daily posting.,agency,Katy Martinez,Katy Martinez,not_started,2026-08-31,2.0
LBL Law,P1,Confirm open house catering and hard costs,Catering and print stay direct LBL expenses; Karyn is working the caterer.,client,Karyn Alten,Katy Martinez,not_started,2026-09-30,1.0
LBL Law,P1,Enforce mandatory source entry on every lead,Configure intake so no lead can be saved without a specific attribution source.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P1,Build per-person annual hours budget for each activity,"Attach prep, travel, delivery, and follow-up hours so partners see total time load before approving.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,2.0
LBL Law,P1,Build speaker allocation matrix across all six named people,"Spread load across Rob, Jenn, Anne, PJ, Nate Logan, and Karyn instead of concentrating on Rob.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,2.0
LBL Law,P1,Codify once-per-org-per-person-per-year saturation rule,Add the frequency guardrail and a tracker field that blocks repeat bookings within 12 months.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P1,Provide average case values and win rates by case type,Data needed from LBL to sharpen ROI modeling and case-priority strategy.,client,Karyn Alten,Sebastien Hue,blocked,2026-09-18,1.0
LBL Law,P1,Capture first batch of clinical authority videos,Shoot the first three videos with PJ on location.,agency,Cody Gunningham,Cody Gunningham,not_started,2026-09-30,5.0
LBL Law,P1,"Design open house creative, signage, buttons, and raffle materials","Look and feel, flow, branding, and guest experience for the Oct 8 event.",agency,Katy Martinez,Katy Martinez,not_started,2026-09-30,8.0
LBL Law,P1,Audit Airtable lead scoring against live form sync,Verify the scoring model and live form produce matching results; escalate to Mena if out of sync.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-08-31,1.0
LBL Law,P1,Send updated AI phone triage scope to Rob for sign-off,Deliver the revised Airtable-first triage scope reflecting the no-call-recording decision.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-30,1.5
LBL Law,P1,Map PJ's clinical qualifying questions for referral portal,Document the medical questions that drive the portal's conditional logic.,agency,Sebastien Hue,Sebastien Hue,blocked,2026-10-30,3.0
LBL Law,P1,Build outreach swim lanes and communications plan,Define who reaches out to whom so BS LLC and LBL never step on each other.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-30,1.5
LBL Law,P1,Write Aug 4 feedback response memo for partner sign-off,"Map each partner objection to the specific change made, plus open questions needing an LBL decision.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,2.0
LBL Law,P1,Migrate LBL website to owned WordPress instance,Port the site to hosting LBL owns outright with full credential handoff.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,14.5
LBL Law,P1,Rebuild Google Ads around PJ's clinical vocabulary,"Rewrite campaigns and keywords around terminal-intent clinical terms like whole body cooling, hypoxic-anoxic, neonatal seizures.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,7.0
LBL Law,P1,Build trial org submission deadline calendar and prep kit,"Give LBL the CFP dates, submission links, abstract drafts, and bios so they can self-execute.",agency,Katy Martinez,Katy Martinez,not_started,2026-10-30,2.0
LBL Law,P1,Own all trial lawyer organization outreach,LBL attorneys individually volunteer and pitch; Rob has already volunteered for the OAJ Winter Convention.,client,Rob Lewis,Rob Lewis,not_started,2026-10-02,0.5
LBL Law,P1,Deploy WebOps stack on migrated site,"Stand up security layers, on-site and off-site backups, uptime monitoring, speed enablement, and DNS management.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,5.0
LBL Law,P1,Edit first YouTube batch with captions and subtitles,Post-production on the first batch; Cody leads edit with Katy on captioning and subtitles.,agency,Cody Gunningham,Katy Martinez,not_started,2026-11-30,7.0
LBL Law,P1,Build clinical blog content program,Replace pruned generic posts with clinically specific content aligned to the paid search vocabulary.,agency,Katy Martinez,Katy Martinez,not_started,2026-11-30,3.5
LBL Law,P1,Confirm Airtable HIPAA configuration and executed BAA,Required before any build that captures protected health information.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-11-30,2.0
LBL Law,P1,Run media license audit across all site assets,"Inventory every image, video, and font to identify unlicensed or Digital Logic-owned media.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-11-30,2.0
LBL Law,P1,Apply YouTube SEO and publish first batch,"Titles, descriptions, tags, and thumbnails optimized for search before publishing.",agency,Cody Gunningham,Katy Martinez,not_started,2026-11-30,2.0
LBL Law,P1,Establish monthly video production cadence,"Stand up the recurring shoot, edit, and publish pipeline at roughly a half-day of partner time per month.",agency,Cody Gunningham,Cody Gunningham,not_started,2026-08-31,1.0
LBL Law,P1,Build attribution tracking monitor for all ad spend,Create the tracking layer that shows how deployed dollars come back as return on investment.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-11-30,5.0
LBL Law,P1,Run AI phone triage vendor selection,Evaluate LexiDex against alternatives; BS LLC is platform-agnostic and selects on fit and least technical burden.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,5.0
LBL Law,P1,Add intent gating and CAPTCHA to organic contact forms,Cut spam and low-intent leads with required fields and clinical qualifiers on generic contact forms.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,2.5
LBL Law,P1,Cut social clips from each video shoot,"Chunk each monthly shoot into short-form social assets; Cody cuts, Katy schedules.",agency,Cody Gunningham,Katy Martinez,not_started,2026-12-31,3.5
LBL Law,P1,Integrate call tracking data into Airtable and reporting,Wire call source and outcome data into the CRM so phone-driven cases are attributable.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,3.5
LBL Law,P1,Replace unlicensed media with properly licensed assets,Source and swap in licensed replacements for everything flagged in the media audit.,agency,Katy Martinez,Katy Martinez,not_started,2026-12-31,6.5
LBL Law,P1,Decide on 2026 AI triage commitment and Phase 1 window,LBL decision needed on whether the Airtable-first phone model proceeds this year and when Phase 1 activates.,client,Rob Lewis,Sebastien Hue,blocked,2026-10-30,0.5
LBL Law,P1,Stand up relationship events workstream at 2x per year,"Formal line item for happy hours, open houses, and referral partner dinners with budget and owners.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,2.0
LBL Law,P1,Build secure co-counsel submission portal,HIPAA-compliant Airtable-backed portal where referring attorneys answer medical questions and upload preliminary files.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,12.0
LBL Law,P1,Configure 24-hour SLA routing and notifications,Guarantee every referred case is reviewed within 24 hours.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,2.5
LBL Law,P1,"Build unified attribution reporting across calls, ads, and Airtable",Tie signed cases back to channel so ROI is provable before scaling spend.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,6.0
LBL Law,P2,Follow up with LBL admin on PR group email setup,Chase the internal contact to get the PR and press group address provisioned.,agency,Katy Martinez,Katy Martinez,not_started,2026-12-31,1.0
LBL Law,P2,Mine outreach database for relationship event invite list,"Convert the ~100 named contacts, minus conflicted orgs, into a segmented invite list.",agency,Katy Martinez,Katy Martinez,not_started,2026-12-31,1.0
LBL Law,P2,Schedule intake Other category working session with LBL,Review how the Other bucket is being used and agree the replacement taxonomy.,agency,Katy Martinez,Katy Martinez,not_started,2027-01-29,2.0
LBL Law,P2,Reassess Ronald McDonald House and CCHMC-adjacent orgs,Get an LBL ruling on each org whose mission runs through an adverse hospital system.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-30,0.5
LBL Law,P2,Scale community forum series back to one anchor event,Partners said public forums are hard to originate cases from; reduce and restate the rationale.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,1.5
LBL Law,P2,Confirm Saal case framing is still appropriate,Get LBL sign-off on whether Forum 1 should still be lightly framed against the Saal matter.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,1.0
LBL Law,P2,Define topic lanes for Nate Logan and Karyn,Give the two people absent from the current plan subject areas and matching abstracts.,agency,Katy Martinez,Katy Martinez,not_started,2027-01-29,1.5
LBL Law,P2,Break podcasts into standalone batch-record track,Rob favors podcasts as one-off low-time-commitment reach; consolidate into a batched recording day.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,1.5
LBL Law,P2,Cut podcast target list and rewrite pitches,Trim overlapping caregiver and crash shows to a tighter set with per-attorney angles.,agency,Katy Martinez,Katy Martinez,not_started,2027-01-29,1.5
LBL Law,P2,Consolidate four plan docs into one revised 2026-27 plan,"Merge the Dec 2025 strategy, forum series, refined forum plan, and outreach database into one non-contradictory document.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,3.5
LBL Law,P2,Build Insider campaign targeting for L&D nurses and RTs,"Define LinkedIn and Meta audience targeting for labor and delivery nurses, midwives, and respiratory therapists.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,2.5
LBL Law,P2,Build mid-score follow-up email template,Nurture template for leads scoring 5-10 in the Airtable model.,agency,Katy Martinez,Katy Martinez,not_started,2027-02-26,1.0
LBL Law,P2,Write co-counsel landing page and portal copy,Referral-facing copy for the dedicated co-counsel section.,agency,Katy Martinez,Katy Martinez,not_started,2027-02-26,2.0
LBL Law,P2,Replace expired 90-day wave plan with 12-month calendar,The June-September wave plan is spent; rebuild against the reduced list with real deadlines.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,1.0
LBL Law,P2,Rewrite measurement scorecard for reduced volume,Reset KPIs to reflect fewer activities and a 5-10% placement rate.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,1.5
LBL Law,P2,Replace removed pediatric panel seats with non-adverse voices,Source independent pediatric safety and patient advocacy voices unaffiliated with defendant hospital systems.,agency,Katy Martinez,Katy Martinez,not_started,2027-02-26,1.0
LBL Law,P2,Write Insider campaign ad creative and educational copy,Produce the educational creative for the medical insider pipeline campaigns.,agency,Katy Martinez,Katy Martinez,not_started,2027-02-26,2.5
LBL Law,P2,Shortlist 3 local CP and pediatric PT sponsorship opportunities,Research post-discharge ecosystem sponsorships for Q3 and Q4.,agency,Katy Martinez,Katy Martinez,not_started,2027-02-26,1.0
LBL Law,P2,Build clip repurposing workflow from podcast appearances,Turn each appearance into LinkedIn clips and a recap post without extra partner hours.,agency,Cody Gunningham,Katy Martinez,not_started,2027-02-26,2.0
LBL Law,P2,Update pipeline tracker schema for owner and conflict flags,"Add fields for assigned attorney, last-contacted date per org, LBL-only flag, and adverse-party status.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,1.5
LBL Law,P2,Launch and manage Insider LinkedIn and Meta campaigns,"Stand up, monitor, and optimize the hyper-targeted insider campaigns.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,5.0
LBL Law,P2,Script AI triage workflow and decision tree,Write call scripts and map the auto-decline and warm-transfer logic for birth injury targets.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,3.5
LBL Law,P2,Beta test co-counsel portal with limited referrer group,"Test routing, data capture, file upload, and usability before public launch.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,3.0
LBL Law,P2,Build multi-year regional rotation map,Lay out which organizations and geographies get hit in 2026 versus 2027 so coverage rotates.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,1.0
LBL Law,P2,Draft referral partner dinner program design,"Format, cadence, invite tiers, and presenting-attorney rotation for clinical teardown dinners.",agency,Katy Martinez,Katy Martinez,not_started,2027-03-31,2.0
LBL Law,P2,Audit and prune low-intent blog inventory,Remove or consolidate broad personal injury content that draws organic traffic that never converts.,agency,Katy Martinez,Katy Martinez,not_started,2027-03-31,2.0
LBL Law,P2,Execute post-discharge geo and contextual media buys,"Buy local sponsorships and contextual ads around pediatric PT centers, CP charity events, and NICU graduate groups.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-03-31,5.0
LBL Law,P2,Launch dedicated co-counsel section on LBL website,Public launch of the referral landing page and portal entry point.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-03-31,2.0
LBL Law,P2,Build referral source categorization spreadsheet,"Map inbound referrals by type, source, and rationale across local, regional, and national tiers.",agency,Katy Martinez,Katy Martinez,not_started,2027-02-26,1.0
LBL Law,P2,Build AI triage Phase 1 transcription and Airtable capture,Turn on transcription and data capture without auto-declining any callers yet.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-03-31,7.0
LBL Law,P2,Scout additional Covington and NKY event tie-in opportunities,Rob wants recurring host opportunities where LBL is a stop on the way to a larger city event.,agency,Katy Martinez,Katy Martinez,not_started,2027-03-31,3.0
LBL Law,P2,Draft $5M case teardown presentation deck,"Scrubbed med-mal teardown deck for attorney-facing referral dinners, built with the designated partner.",agency,Katy Martinez,Katy Martinez,not_started,2027-04-30,4.5
LBL Law,P2,Build monthly performance reporting dashboard,"Recurring client-facing view of channel performance, spend, and signed-case attribution.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-04-30,5.0
LBL Law,P1,Google Ads optimization and campaign management — Sep 2026,"Ongoing bid, keyword, negative, and creative optimization plus budget pacing. AI-assisted scripts handle routine pacing and anomaly flags.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-30,4
LBL Law,P1,WebOps monitoring and maintenance — Sep 2026,"Security patching, backup verification, uptime and performance checks. Automated alerting; human only on exceptions.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-30,1.5
LBL Law,P1,Monthly performance report and client review — Sep 2026,Automated data pull into the dashboard; human writes the narrative and runs the client review.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-09-30,2.5
LBL Law,P1,Blog production (2 clinical posts) — Sep 2026,"Two clinically specific posts aligned to the paid search vocabulary. AI drafts from clinical source material, human edits and fact-checks.",agency,Katy Martinez,Katy Martinez,not_started,2026-09-30,4
LBL Law,P1,Social publishing calendar — Sep 2026,Build and run the month's posting calendar across LBL channels. AI-assisted copy variants from existing assets.,agency,Katy Martinez,Katy Martinez,not_started,2026-09-30,1.5
LBL Law,P1,Thought leadership pitch wave — Sep 2026,Execute the month's outreach against the approved activity list and log responses. AI-personalized pitch drafts.,agency,Katy Martinez,Katy Martinez,not_started,2026-09-30,3
LBL Law,P1,Video production day — Sep 2026,"Half-day on-site capture with the partner team. Physical time, no compression available.",agency,Cody Gunningham,Cody Gunningham,not_started,2026-09-30,5
LBL Law,P1,Video edit and captioning — Sep 2026,Post-production and subtitles. AI transcription and auto-caption; human on cut and QC.,agency,Cody Gunningham,Katy Martinez,not_started,2026-09-30,4
LBL Law,P1,YouTube publish and SEO — Sep 2026,"Titles, descriptions, tags, thumbnails, publishing. AI-drafted metadata, human approval.",agency,Cody Gunningham,Katy Martinez,not_started,2026-09-30,1
LBL Law,P1,Social clip cutting and scheduling — Sep 2026,"Auto-detected clip candidates from the long-form cut, human selects and schedules.",agency,Cody Gunningham,Katy Martinez,not_started,2026-09-30,2
LBL Law,P1,Google Ads optimization and campaign management — Oct 2026,"Ongoing bid, keyword, negative, and creative optimization plus budget pacing. AI-assisted scripts handle routine pacing and anomaly flags.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,4
LBL Law,P1,WebOps monitoring and maintenance — Oct 2026,"Security patching, backup verification, uptime and performance checks. Automated alerting; human only on exceptions.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,1.5
LBL Law,P1,Monthly performance report and client review — Oct 2026,Automated data pull into the dashboard; human writes the narrative and runs the client review.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-10-30,2.5
LBL Law,P1,Blog production (2 clinical posts) — Oct 2026,"Two clinically specific posts aligned to the paid search vocabulary. AI drafts from clinical source material, human edits and fact-checks.",agency,Katy Martinez,Katy Martinez,not_started,2026-10-30,4
LBL Law,P1,Social publishing calendar — Oct 2026,Build and run the month's posting calendar across LBL channels. AI-assisted copy variants from existing assets.,agency,Katy Martinez,Katy Martinez,not_started,2026-10-30,1.5
LBL Law,P1,Thought leadership pitch wave — Oct 2026,Execute the month's outreach against the approved activity list and log responses. AI-personalized pitch drafts.,agency,Katy Martinez,Katy Martinez,not_started,2026-10-30,3
LBL Law,P1,Google Ads optimization and campaign management — Nov 2026,"Ongoing bid, keyword, negative, and creative optimization plus budget pacing. AI-assisted scripts handle routine pacing and anomaly flags.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-11-30,4
LBL Law,P1,WebOps monitoring and maintenance — Nov 2026,"Security patching, backup verification, uptime and performance checks. Automated alerting; human only on exceptions.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-11-30,1.5
LBL Law,P1,Monthly performance report and client review — Nov 2026,Automated data pull into the dashboard; human writes the narrative and runs the client review.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-11-30,2.5
LBL Law,P1,Blog production (2 clinical posts) — Nov 2026,"Two clinically specific posts aligned to the paid search vocabulary. AI drafts from clinical source material, human edits and fact-checks.",agency,Katy Martinez,Katy Martinez,not_started,2026-11-30,4
LBL Law,P1,Social publishing calendar — Nov 2026,Build and run the month's posting calendar across LBL channels. AI-assisted copy variants from existing assets.,agency,Katy Martinez,Katy Martinez,not_started,2026-11-30,1.5
LBL Law,P1,Thought leadership pitch wave — Nov 2026,Execute the month's outreach against the approved activity list and log responses. AI-personalized pitch drafts.,agency,Katy Martinez,Katy Martinez,not_started,2026-11-30,3
LBL Law,P1,Video production day — Nov 2026,"Half-day on-site capture with the partner team. Physical time, no compression available.",agency,Cody Gunningham,Cody Gunningham,not_started,2026-11-30,5
LBL Law,P1,Video edit and captioning — Nov 2026,Post-production and subtitles. AI transcription and auto-caption; human on cut and QC.,agency,Cody Gunningham,Katy Martinez,not_started,2026-11-30,4
LBL Law,P1,YouTube publish and SEO — Nov 2026,"Titles, descriptions, tags, thumbnails, publishing. AI-drafted metadata, human approval.",agency,Cody Gunningham,Katy Martinez,not_started,2026-11-30,1
LBL Law,P1,Social clip cutting and scheduling — Nov 2026,"Auto-detected clip candidates from the long-form cut, human selects and schedules.",agency,Cody Gunningham,Katy Martinez,not_started,2026-11-30,2
LBL Law,P1,Google Ads optimization and campaign management — Dec 2026,"Ongoing bid, keyword, negative, and creative optimization plus budget pacing. AI-assisted scripts handle routine pacing and anomaly flags.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,4
LBL Law,P1,WebOps monitoring and maintenance — Dec 2026,"Security patching, backup verification, uptime and performance checks. Automated alerting; human only on exceptions.",agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,1.5
LBL Law,P1,Monthly performance report and client review — Dec 2026,Automated data pull into the dashboard; human writes the narrative and runs the client review.,agency,Sebastien Hue,Sebastien Hue,not_started,2026-12-31,2.5
LBL Law,P1,Blog production (2 clinical posts) — Dec 2026,"Two clinically specific posts aligned to the paid search vocabulary. AI drafts from clinical source material, human edits and fact-checks.",agency,Katy Martinez,Katy Martinez,not_started,2026-12-31,4
LBL Law,P1,Social publishing calendar — Dec 2026,Build and run the month's posting calendar across LBL channels. AI-assisted copy variants from existing assets.,agency,Katy Martinez,Katy Martinez,not_started,2026-12-31,1.5
LBL Law,P1,Thought leadership pitch wave — Dec 2026,Execute the month's outreach against the approved activity list and log responses. AI-personalized pitch drafts.,agency,Katy Martinez,Katy Martinez,not_started,2026-12-31,3
LBL Law,P1,Google Ads optimization and campaign management — Jan 2027,"Ongoing bid, keyword, negative, and creative optimization plus budget pacing. AI-assisted scripts handle routine pacing and anomaly flags.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,4
LBL Law,P1,WebOps monitoring and maintenance — Jan 2027,"Security patching, backup verification, uptime and performance checks. Automated alerting; human only on exceptions.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,1.5
LBL Law,P1,Monthly performance report and client review — Jan 2027,Automated data pull into the dashboard; human writes the narrative and runs the client review.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-01-29,2.5
LBL Law,P1,Blog production (2 clinical posts) — Jan 2027,"Two clinically specific posts aligned to the paid search vocabulary. AI drafts from clinical source material, human edits and fact-checks.",agency,Katy Martinez,Katy Martinez,not_started,2027-01-29,4
LBL Law,P1,Social publishing calendar — Jan 2027,Build and run the month's posting calendar across LBL channels. AI-assisted copy variants from existing assets.,agency,Katy Martinez,Katy Martinez,not_started,2027-01-29,1.5
LBL Law,P1,Thought leadership pitch wave — Jan 2027,Execute the month's outreach against the approved activity list and log responses. AI-personalized pitch drafts.,agency,Katy Martinez,Katy Martinez,not_started,2027-01-29,3
LBL Law,P1,Video production day — Jan 2027,"Half-day on-site capture with the partner team. Physical time, no compression available.",agency,Cody Gunningham,Cody Gunningham,not_started,2027-01-29,5
LBL Law,P1,Video edit and captioning — Jan 2027,Post-production and subtitles. AI transcription and auto-caption; human on cut and QC.,agency,Cody Gunningham,Katy Martinez,not_started,2027-01-29,4
LBL Law,P1,YouTube publish and SEO — Jan 2027,"Titles, descriptions, tags, thumbnails, publishing. AI-drafted metadata, human approval.",agency,Cody Gunningham,Katy Martinez,not_started,2027-01-29,1
LBL Law,P1,Social clip cutting and scheduling — Jan 2027,"Auto-detected clip candidates from the long-form cut, human selects and schedules.",agency,Cody Gunningham,Katy Martinez,not_started,2027-01-29,2
LBL Law,P1,Google Ads optimization and campaign management — Feb 2027,"Ongoing bid, keyword, negative, and creative optimization plus budget pacing. AI-assisted scripts handle routine pacing and anomaly flags.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,4
LBL Law,P1,WebOps monitoring and maintenance — Feb 2027,"Security patching, backup verification, uptime and performance checks. Automated alerting; human only on exceptions.",agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,1.5
LBL Law,P1,Monthly performance report and client review — Feb 2027,Automated data pull into the dashboard; human writes the narrative and runs the client review.,agency,Sebastien Hue,Sebastien Hue,not_started,2027-02-26,2.5
